date,open,high,low,close
2020-06-05 12:06:00+09:00,1077223,1077965,1076858,1077489
2020-06-05 12:07:00+09:00,1077489,1077542,1077027,1077348
2020-06-05 12:08:00+09:00,1077348,1077865,1076906,1077671
2020-06-05 12:09:00+09:00,1077652,1077767,1077130,1077300
2020-06-05 12:10:00+09:00,1077298,1077602,1077229,1077533
2020-06-05 12:11:00+09:00,1077500,1079029,1077446,1078257
2020-06-05 12:12:00+09:00,1077853,1078003,1077022,1077507
2020-06-05 12:13:00+09:00,1077464,1077932,1077409,1077554
2020-06-05 12:14:00+09:00,1077677,1079256,1077412,1078748
2020-06-05 12:15:00+09:00,1078643,1078700,1077983,1078210
2020-06-05 12:16:00+09:00,1078109,1078900,1078105,1078113
2020-06-05 12:17:00+09:00,1078171,1078472,1077620,1077684
2020-06-05 12:18:00+09:00,1077671,1078182,1077600,1078182
2020-06-05 12:19:00+09:00,1078182,1078277,1077393,1077990
2020-06-05 12:20:00+09:00,1077969,1077969,1077681,1077681
2020-06-05 12:21:00+09:00,1077698,1078255,1077582,1077953
2020-06-05 12:22:00+09:00,1077933,1078272,1077515,1078102
2020-06-05 12:23:00+09:00,1078102,1078283,1077404,1077812
2020-06-05 12:24:00+09:00,1077824,1078079,1077658,1077975
2020-06-05 12:25:00+09:00,1077834,1077975,1077377,1077603
2020-06-05 12:26:00+09:00,1077603,1077825,1077062,1077640
2020-06-05 12:27:00+09:00,1077639,1077825,1076969,1077171
2020-06-05 12:28:00+09:00,1076768,1076906,1073571,1073701
2020-06-05 12:29:00+09:00,1073701,1074530,1071391,1072655
2020-06-05 12:30:00+09:00,1072655,1073607,1071585,1073469
2020-06-05 12:31:00+09:00,1073469,1073607,1072418,1073064
2020-06-05 12:32:00+09:00,1073277,1073763,1072494,1072609
2020-06-05 12:33:00+09:00,1072906,1073964,1072637,1073842
2020-06-05 12:34:00+09:00,1073842,1074438,1073483,1074271
2020-06-05 12:35:00+09:00,1074271,1074424,1073684,1073726
2020-06-05 12:36:00+09:00,1073742,1074581,1073646,1074048
2020-06-05 12:37:00+09:00,1074103,1074481,1073714,1073775
2020-06-05 12:38:00+09:00,1073846,1074344,1073777,1073955
2020-06-05 12:39:00+09:00,1074042,1074174,1072842,1073208
2020-06-05 12:40:00+09:00,1073217,1073493,1072675,1073022
2020-06-05 12:41:00+09:00,1073022,1073269,1072293,1072770
2020-06-05 12:42:00+09:00,1072854,1073055,1072391,1072784
2020-06-05 12:43:00+09:00,1072784,1073499,1072521,1073499
2020-06-05 12:44:00+09:00,1073404,1074264,1073404,1073848
2020-06-05 12:45:00+09:00,1073848,1074202,1073687,1074114
2020-06-05 12:46:00+09:00,1074114,1074255,1073469,1073515
2020-06-05 12:47:00+09:00,1073650,1074040,1073443,1073850
2020-06-05 12:48:00+09:00,1073672,1074122,1073333,1073680
2020-06-05 12:49:00+09:00,1073680,1073754,1072996,1073304
2020-06-05 12:50:00+09:00,1073337,1074079,1073262,1073856
2020-06-05 12:51:00+09:00,1073914,1074090,1072900,1073081
2020-06-05 12:52:00+09:00,1073156,1073611,1072900,1073475
2020-06-05 12:53:00+09:00,1073501,1074400,1073466,1074164
2020-06-05 12:54:00+09:00,1074166,1074577,1073626,1073774
2020-06-05 12:55:00+09:00,1073726,1073941,1072900,1073283
